²;N;Operator;Vernacular;TreeID;SampleID;ID TRY;ScientificName;Family;genus;species;RDMC ;RootAverageLenght ;Rootdryweight;Rootfreshweight;RSL;WD;BarkTh;DBH;PetioleL;LeafThickness;LeafArea;FreshWeight;DryWeight;LDMC;SLA;Dispers;Deciduousness;SPAD
293;106;Vincyane;Movingui;B;2;NA;NA;NA;Distemonanthus;benthamianus;NA;NA;338;0,88;NA;NA;0,51;NA;3,6;0,02;NA;5,85;1553;NA;NA;2;2;17,3
294;106;Vincyane;Movingui;B;3;NA;NA;NA;Distemonanthus;benthamianus;NA;NA;564;1,62;NA;NA;0,7;NA;3,3;0,02;NA;5,47;1399;NA;NA;2;2;23,4
295;106;Vincyane;Movingui;C;1;NA;NA;NA;Distemonanthus;benthamianus;NA;NA;203;0,42;NA;NA;0,22;NA;4,5;0,02;NA;4,22;1185;NA;NA;2;2;33,3
296;106;Vincyane;Movingui;C;2;NA;NA;NA;Distemonanthus;benthamianus;NA;NA;641;1,38;NA;NA;0,21;NA;4,5;0,02;NA;2,14;645;NA;NA;2;2;34,9
297;106;Vincyane;Movingui;C;3;NA;NA;NA;Distemonanthus;benthamianus;NA;NA;380;0,77;NA;NA;0,25;NA;3,5;0,02;NA;3,21;983;NA;NA;2;2;34,4
298;101;Vincyane;Pouo;A;1;NA;NA;NA;Funtumia;africana;NA;NA;155;0,18;NA;NA;0,43;NA;0,7;0,02;NA;0,86;228;NA;NA;3;2;41,9
299;101;Vincyane;Pouo;A;2;NA;NA;NA;Funtumia;africana;NA;NA;241;0,45;NA;NA;0,44;NA;0,7;0,03;NA;1,35;323;NA;NA;3;2;47,7
300;101;Vincyane;Pouo;A;3;NA;NA;NA;Funtumia;africana;NA;NA;258;0,52;NA;NA;0,45;NA;0,7;0,04;NA;0,85;210;NA;NA;3;2;42,6
301;101;Vincyane;Pouo;B;1;NA;NA;NA;Funtumia;africana;NA;NA;252;0,53;NA;NA;0,29;NA;0,9;0,04;NA;1,67;370;NA;NA;3;2;49
302;101;Vincyane;Pouo;B;2;NA;NA;NA;Funtumia;africana;NA;NA;291;0,62;NA;NA;0,28;NA;0,7;0,04;NA;1,83;586;NA;NA;3;2;58,4
303;101;Vincyane;Pouo;B;3;NA;NA;NA;Funtumia;africana;NA;NA;241;0,62;NA;NA;0,27;NA;1,2;0,04;NA;2,5;740;NA;NA;3;2;61,6
304;101;Vincyane;Pouo;C;1;NA;NA;NA;Funtumia;africana;NA;NA;153;0,36;NA;NA;0,3;NA;1;0,04;NA;2,25;728;NA;NA;3;2;61,7
305;101;Vincyane;Pouo;C;2;NA;NA;NA;Funtumia;africana;NA;NA;86;0,18;NA;NA;0,3;NA;1;0,04;NA;2,36;763;NA;NA;3;2;58,1
306;101;Vincyane;Pouo;C;3;NA;NA;NA;Funtumia;africana;NA;NA;189;0,41;NA;NA;0,36;NA;0,8;0,03;NA;1,32;512;NA;NA;3;2;63,8
307;84;Vincyane;Dede;A;1;NA;NA;NA;Ficus;exasperata;NA;NA;352;1,01;NA;NA;0,37;NA;1,4;0,06;NA;0,69;170;NA;NA;3;1;42,9
308;84;Vincyane;Dede;A;2;NA;NA;NA;Ficus;exasperata;NA;NA;201;0,47;NA;NA;0,35;NA;1,7;0,07;NA;1,96;411;NA;NA;3;1;41,4
309;84;Vincyane;Dede;A;3;NA;NA;NA;Ficus;exasperata;NA;NA;240;0,66;NA;NA;0,32;NA;1,7;0,05;NA;0,79;215;NA;NA;3;1;43
310;84;Vincyane;Dede;B;1;NA;NA;NA;Ficus;exasperata;NA;NA;78;0,15;NA;NA;0,47;NA;1,5;0,04;NA;1,13;353;NA;NA;3;1;47
311;84;Vincyane;Dede;B;2;NA;NA;NA;Ficus;exasperata;NA;NA;26;0,5;NA;NA;0,46;NA;1,5;0,07;NA;1,43;431;NA;NA;3;1;44,7
312;84;Vincyane;Dede;B;3;NA;NA;NA;Ficus;exasperata;NA;NA;682;2,22;NA;NA;0,41;NA;1,6;0,06;NA;1,9;581;NA;NA;3;1;44,1
313;84;Vincyane;Dede;C;1;NA;NA;NA;Ficus;exasperata;NA;NA;218;1,01;NA;NA;0,59;NA;1,7;0,06;NA;0,69;273;NA;NA;3;1;42,9
314;84;Vincyane;Dede;C;2;NA;NA;NA;Ficus;exasperata;NA;NA;315;0,47;NA;NA;0,67;NA;2,2;0,08;NA;1,96;359;NA;NA;3;1;41,4
315;84;Vincyane;Dede;C;3;NA;NA;NA;Ficus;exasperata;NA;NA;254;0,66;NA;NA;0,67;NA;1,9;0,08;NA;0,79;379;NA;NA;3;1;43
316;81;Vincyane;Akossika;A;1;NA;NA;NA;Scottellia;coriacea;NA;NA;182;0,76;NA;NA;0,54;NA;1,5;0,04;NA;1,07;464;NA;NA;3;2;55,9
317;81;Vincyane;Akossika;A;2;NA;NA;NA;Scottellia;coriacea;NA;NA;359;0,8;NA;NA;0,6;NA;1,5;0,04;NA;1,14;501;NA;NA;3;2;48,2
318;81;Vincyane;Akossika;A;3;NA;NA;NA;Scottellia;coriacea;NA;NA;387;0,76;NA;NA;0,42;NA;1,6;0,04;NA;1,27;551;NA;NA;3;2;64,5
319;81;Vincyane;Akossika;B;1;NA;NA;NA;Scottellia;coriacea;NA;NA;229;0,38;NA;NA;0,5;NA;0,9;0,04;NA;1;470;NA;NA;3;2;47
320;81;Vincyane;Akossika;B;2;NA;NA;NA;Scottellia;coriacea;NA;NA;129;0,25;NA;NA;0,6;NA;1,2;0,06;NA;1,1;515;NA;NA;3;2;50,7
321;81;Vincyane;Akossika;B;3;NA;NA;NA;Scottellia;coriacea;NA;NA;255;0,48;NA;NA;0,52;NA;1,4;0,03;NA;0,84;467;NA;NA;3;2;38,8
322;81;Vincyane;Akossika;C;1;NA;NA;NA;Scottellia;coriacea;NA;NA;531;1,15;NA;NA;0,74;NA;0,7;0,05;NA;1,28;560;NA;NA;3;2;54,3
323;81;Vincyane;Akossika;C;2;NA;NA;NA;Scottellia;coriacea;NA;NA;549;1,22;NA;NA;0,57;NA;0,6;0,02;NA;1,05;494;NA;NA;3;2;48,4
324;81;Vincyane;Akossika;C;3;NA;NA;NA;Scottellia;coriacea;NA;NA;547;1,19;NA;NA;0,55;NA;0,7;0,03;NA;1,25;585;NA;NA;3;2;52,3
325;79;Vincyane;Aboudikro;A;1;NA;NA;NA;Entandrophragma;cylindricum;NA;NA;33;0,08;NA;NA;0,4;NA;2,2;0,04;NA;6,93;1638;NA;NA;2;1;34,8
326;79;Vincyane;Aboudikro;A;2;NA;NA;NA;Entandrophragma;cylindricum;NA;NA;143;0,35;NA;NA;0,37;NA;13,6;0,04;NA;14,16;5783;NA;NA;2;1;47
327;79;Vincyane;Aboudikro;A;3;NA;NA;NA;Entandrophragma;cylindricum;NA;NA;389;1,11;NA;NA;0,4;NA;5,3;0,04;NA;9,15;3660;NA;NA;2;1;60,4
328;79;Vincyane;Aboudikro;B;1;NA;NA;NA;Entandrophragma;cylindricum;NA;NA;76;0,15;NA;NA;0,97;NA;5,9;0,04;NA;20,67;8738;NA;NA;2;1;69,3
329;79;Vincyane;Aboudikro;B;2;NA;NA;NA;Entandrophragma;cylindricum;NA;NA;103;0,29;NA;NA;0,85;NA;13,5;0,04;NA;10,23;4475;NA;NA;2;1;69
330;79;Vincyane;Aboudikro;B;3;NA;NA;NA;Entandrophragma;cylindricum;NA;NA;61;0,14;NA;NA;0,7;NA;8,9;0,04;NA;19,28;8034;NA;NA;2;1;69,7
331;79;Vincyane;Aboudikro;C;1;NA;NA;NA;Entandrophragma;cylindricum;NA;NA;238;0,6;NA;NA;0,45;NA;11,4;0,03;NA;12,18;4669;NA;NA;2;1;64,3
332;79;Vincyane;Aboudikro;C;2;NA;NA;NA;Entandrophragma;cylindricum;NA;NA;640;1,7;NA;NA;0,52;NA;15,3;0,03;NA;27,12;10915;NA;NA;2;1;64,2
333;79;Vincyane;Aboudikro;C;3;NA;NA;NA;Entandrophragma;cylindricum;NA;NA;191;0,48;NA;NA;0,5;NA;13,5;0,03;NA;21;8325;NA;NA;2;1;60
334;78;Vincyane;Asan;A;1;NA;NA;NA;Celtis;zenkeri;NA;NA;372;0,86;NA;NA;0,46;NA;0,6;0,02;3451;0,61;133;NA;NA;3;1;31,7
335;78;Vincyane;Asan;A;2;NA;NA;NA;Celtis;zenkeri;NA;NA;46;0,02;NA;NA;0,46;NA;0,7;0,04;3607;0,63;123;NA;NA;3;1;23,3
336;78;Vincyane;Asan;A;3;NA;NA;NA;Celtis;zenkeri;NA;NA;428;0,78;NA;NA;0,37;NA;0,5;0,02;4559;0,89;183;NA;NA;3;1;28,9
337;78;Vincyane;Asan;B;1;NA;NA;NA;Celtis;zenkeri;NA;NA;262;0,52;NA;NA;0,52;NA;0,5;0,03;3400;0,67;176;NA;NA;3;1;41,1
338;78;Vincyane;Asan;B;2;NA;NA;NA;Celtis;zenkeri;NA;NA;432;0,6;NA;NA;0,61;NA;0,7;0,04;4539;0,93;238;NA;NA;3;1;42
339;78;Vincyane;Asan;B;3;NA;NA;NA;Celtis;zenkeri;NA;NA;750;0,96;NA;NA;0,62;NA;0,7;0,04;5445;1,1;272;NA;NA;3;1;42,2
340;78;Vincyane;Asan;C;1;NA;NA;NA;Celtis;zenkeri;NA;NA;313;0,46;NA;NA;0,49;NA;0,7;0,04;3687;0,67;346;NA;NA;3;1;44
341;78;Vincyane;Asan;C;2;NA;NA;NA;Celtis;zenkeri;NA;NA;466;0,83;NA;NA;0,5;NA;0,6;0,03;2482;0,4;116;NA;NA;3;1;34,7
342;78;Vincyane;Asan;C;3;NA;NA;NA;Celtis;zenkeri;NA;NA;1143;1,96;NA;NA;0,45;NA;0,6;0,03;1932;0,34;157;NA;NA;3;1;40,4
343;68;Vincyane;Losso;A;1;NA;NA;NA;Desplatsia;chrysochlamys;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
344;68;Vincyane;Losso;A;2;NA;NA;NA;Desplatsia;chrysochlamys;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
345;68;Vincyane;Losso;A;3;NA;NA;NA;Desplatsia;chrysochlamys;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
346;68;Vincyane;Losso;B;1;NA;NA;NA;Desplatsia;chrysochlamys;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
347;68;Vincyane;Losso;B;2;NA;NA;NA;Desplatsia;chrysochlamys;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
348;68;Vincyane;Losso;B;3;NA;NA;NA;Desplatsia;chrysochlamys;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
349;68;Vincyane;Losso;C;1;NA;NA;NA;Desplatsia;chrysochlamys;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
350;68;Vincyane;Losso;C;2;NA;NA;NA;Desplatsia;chrysochlamys;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
351;68;Vincyane;Losso;C;3;NA;NA;NA;Desplatsia;chrysochlamys;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
352;67;Vincyane;Akatio / delovoyi;A;1;NA;NA;NA;Gambeya;delovoyi;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;
353;67;Vincyane;Akatio / delovoyi;A;2;NA;NA;NA;Gambeya;delovoyi;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;
354;67;Vincyane;Akatio / delovoyi;A;3;NA;NA;NA;Gambeya;delovoyi;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;
355;67;Vincyane;Akatio / delovoyi;B;1;NA;NA;NA;Gambeya;delovoyi;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;
356;67;Vincyane;Akatio / delovoyi;B;2;NA;NA;NA;Gambeya;delovoyi;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;
357;67;Vincyane;Akatio / delovoyi;B;3;NA;NA;NA;Gambeya;delovoyi;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;
358;67;Vincyane;Akatio / delovoyi;C;1;NA;NA;NA;Gambeya;delovoyi;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;
359;67;Vincyane;Akatio / delovoyi;C;2;NA;NA;NA;Gambeya;delovoyi;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;
360;67;Vincyane;Akatio / delovoyi;C;3;NA;NA;NA;Gambeya;delovoyi;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;
361;67;Vincyane;Banaye / mehadelpha;A;1;NA;NA;NA;Trichilia;monadelpha;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
362;67;Vincyane;Banaye / mehadelpha;A;2;NA;NA;NA;Trichilia;monadelpha;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
363;67;Vincyane;Banaye / mehadelpha;A;3;NA;NA;NA;Trichilia;monadelpha;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
364;67;Vincyane;Banaye / mehadelpha;B;1;NA;NA;NA;Trichilia;monadelpha;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
365;67;Vincyane;Banaye / mehadelpha;B;2;NA;NA;NA;Trichilia;monadelpha;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
366;67;Vincyane;Banaye / mehadelpha;B;3;NA;NA;NA;Trichilia;monadelpha;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
367;67;Vincyane;Banaye / mehadelpha;C;1;NA;NA;NA;Trichilia;monadelpha;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
368;67;Vincyane;Banaye / mehadelpha;C;2;NA;NA;NA;Trichilia;monadelpha;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
369;67;Vincyane;Banaye / mehadelpha;C;3;NA;NA;NA;Trichilia;monadelpha;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;
370;67;Vincyane;Iroko;A;1;NA;NA;NA;Milicia;excelsa;NA;NA;402;0,63;NA;NA;0,61;NA;2,7;0,03;NA;1,28;726;NA;NA;3;1;34,7
371;67;Vincyane;Iroko;A;2;NA;NA;NA;Milicia;excelsa;NA;NA;84;0,45;NA;NA;0,48;NA;3,8;0,03;NA;1,64;837;NA;NA;3;1;34,4
372;67;Vincyane;Iroko;A;3;NA;NA;NA;Milicia;excelsa;NA;NA;453;0,83;NA;NA;0,44;NA;4,7;0,04;NA;2,71;1188;NA;NA;3;1;36,4
373;67;Vincyane;Iroko;B;1;NA;NA;NA;Milicia;excelsa;NA;NA;217;0,69;NA;NA;0,33;NA;2,5;0,05;NA;3,25;1128;NA;NA;3;1;38,6
374;67;Vincyane;Iroko;B;2;NA;NA;NA;Milicia;excelsa;NA;NA;392;1,05;NA;NA;0,3;NA;2,8;0,06;NA;3,7;1003;NA;NA;3;1;43,2
375;67;Vincyane;Iroko;B;3;NA;NA;NA;Milicia;excelsa;NA;NA;363;1,11;NA;NA;0,4;NA;3,2;0,06;NA;3,54;1170;NA;NA;3;1;38,7
376;67;Vincyane;Iroko;C;1;NA;NA;NA;Milicia;excelsa;NA;NA;133;0,4;NA;NA;0,4;NA;5,7;0,03;NA;3,13;992;NA;NA;3;1;49
377;67;Vincyane;Iroko;C;2;NA;NA;NA;Milicia;excelsa;NA;NA;141;0,38;NA;NA;0,56;NA;5,2;0,04;NA;3,52;1125;NA;NA;3;1;47,9
378;67;Vincyane;Iroko;C;3;NA;NA;NA;Milicia;excelsa;NA;NA;154;0,44;NA;NA;0,64;NA;5,4;0,04;NA;2,58;658;NA;NA;3;1;44,2
379;61;Vincyane;Difou;A;1;NA;NA;NA;Morus;mesozygia;NA;NA;329;0,4;NA;NA;0,46;NA;1,8;0,02;3063;0,65;244;NA;NA;3;1;37,3
380;61;Vincyane;Difou;A;2;NA;NA;NA;Morus;mesozygia;NA;NA;130;0,45;NA;NA;0,49;NA;2,4;0,02;4316;0,88;312;NA;NA;3;1;33,7
381;61;Vincyane;Difou;A;3;NA;NA;NA;Morus;mesozygia;NA;NA;167;0,39;NA;NA;0,39;NA;2,7;0,02;4636;0,1;291;NA;NA;3;1;35,3
382;61;Vincyane;Difou;B;1;NA;NA;NA;Morus;mesozygia;NA;NA;177;0,47;NA;NA;0,5;NA;2,1;0,04;5512;0,14;285;NA;NA;3;1;33,1
383;61;Vincyane;Difou;B;2;NA;NA;NA;Morus;mesozygia;NA;NA;187;0,54;NA;NA;0,29;NA;1,9;0,03;5757;0,09;301;NA;NA;3;1;33,8
384;61;Vincyane;Difou;B;3;NA;NA;NA;Morus;mesozygia;NA;NA;719;1,91;NA;NA;0,34;NA;2,5;0,03;5619;0,13;322;NA;NA;3;1;29,6
385;61;Vincyane;Difou;C;1;NA;NA;NA;Morus;mesozygia;NA;NA;245;0,58;NA;NA;0,58;NA;2;0,04;5133;1,05;386;NA;NA;3;1;37,8
386;61;Vincyane;Difou;C;2;NA;NA;NA;Morus;mesozygia;NA;NA;142;0,38;NA;NA;0,69;NA;2,2;0,03;5645;1,12;416;NA;NA;3;1;39,1
387;61;Vincyane;Difou;C;3;NA;NA;NA;Morus;mesozygia;NA;NA;197;0,47;NA;NA;0,51;NA;2,4;0,03;6741;1,31;481;NA;NA;3;1;35,6
388;60;Vincyane;Emien;A;1;NA;NA;NA;Alstonia;boonei;NA;NA;125;0,19;NA;NA;0,39;NA;9,5;0,02;;15,06;4684;NA;NA;3;2;52,4
389;60;Vincyane;Emien;A;2;NA;NA;NA;Alstonia;boonei;NA;NA;392;1,21;NA;NA;0,45;NA;11,6;0,02;;6,65;2139;NA;NA;3;2;50,4
390;60;Vincyane;Emien;A;3;NA;NA;NA;Alstonia;boonei;NA;NA;560;1,73;NA;NA;0,45;NA;7,1;0,03;;8,88;3025;NA;NA;3;2;56,2
391;60;Vincyane;Emien;B;1;NA;NA;NA;Alstonia;boonei;NA;NA;1728;6,28;NA;NA;0,74;NA;5,2;0,02;;7,11;1719;NA;NA;3;2;48,9
392;60;Vincyane;Emien;B;2;NA;NA;NA;Alstonia;boonei;NA;NA;1981;7,3;NA;NA;0,65;NA;5,3;0,03;;4,37;1389;NA;NA;3;2;49,4
393;60;Vincyane;Emien;B;3;NA;NA;NA;Alstonia;boonei;NA;NA;353;0,56;NA;NA;0,61;NA;4,1;0,03;;6,83;1766;NA;NA;3;2;37
394;60;Vincyane;Emien;C;1;NA;NA;NA;Alstonia;boonei;NA;NA;319;0,86;NA;NA;0,46;NA;6,7;0,02;;2,74;737;NA;NA;3;2;47,7
395;60;Vincyane;Emien;C;2;NA;NA;NA;Alstonia;boonei;NA;NA;444;1,22;NA;NA;0,58;NA;3,7;0,02;;3,39;853;NA;NA;3;2;48,1
396;60;Vincyane;Emien;C;3;NA;NA;NA;Alstonia;boonei;NA;NA;273;0,99;NA;NA;0,58;NA;6,6;0,02;;3,82;961;NA;NA;3;2;48,1
397;57;Vincyane;Tombo;A;1;NA;NA;NA;Kigelia;africana;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1,5;
398;57;Vincyane;Tombo;A;2;NA;NA;NA;Kigelia;africana;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1,5;
399;57;Vincyane;Tombo;A;3;NA;NA;NA;Kigelia;africana;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1,5;
400;57;Vincyane;Tombo;B;1;NA;NA;NA;Kigelia;africana;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1,5;
401;57;Vincyane;Tombo;B;2;NA;NA;NA;Kigelia;africana;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1,5;
402;57;Vincyane;Tombo;B;3;NA;NA;NA;Kigelia;africana;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1,5;
403;57;Vincyane;Tombo;C;1;NA;NA;NA;Kigelia;africana;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1,5;
404;57;Vincyane;Tombo;C;2;NA;NA;NA;Kigelia;africana;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1,5;
405;57;Vincyane;Tombo;C;3;NA;NA;NA;Kigelia;africana;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1,5;
