Vernaculier;ID TRY;ScientificName;Family;Genus;Species;treeID;sampleID;RDMC ;RootAverageLenght ;RSL;WD;BarkTh;DBH;PetioleL;LeafThickness;LeafArea;FreshWeight;DryWeight;LDMC;SLA;Dispers;Deciduousness
Papayer;7571;Carica papaya;Caricaceae;Carica;papaya;A;2;177,778;2,278;0,013;0.1875000;0,57;66;34,9;0,38;949,31;17,81;3340;187,54;5,062029;3;2
Papayer;;Carica papaya;Caricaceae;Carica;papaya;A;3;187,5;2,371;0,013;0.1875000;0,62;66;22,8;0,3;383,92;6,42;1110;172,9;2,220528;3;2
Papayer;;Carica papaya;Caricaceae;Carica;papaya;B;1;101,695;5,416;0,053;0.1875000;0,86;72;36,2;0,42;1030,09;25,76;4490;174,3;5,909803;3;2
Papayer;;Carica papaya;Caricaceae;Carica;papaya;B;2;121,951;4,666;0,038;0.1875000;0,86;72;49,8;0,42;1106,96;27,6;6580;238,41;4,64318;3;2
Papayer;;Carica papaya;Caricaceae;Carica;papaya;B;3;130,435;3,823;0,029;0.1875000;0,71;72;24,7;0,32;957,27;23,79;5640;237,07;4,037834;3;2
Papayer;;Carica papaya;Caricaceae;Carica;papaya;C;1;97,561;4,679;0,048;0.1875000;0,6;74;58,1;0,4;1340,33;32,31;7980;246,98;5,426833;3;2
Papayer;;Carica papaya;Caricaceae;Carica;papaya;C;2;100;4,756;0,048;0.1875000;0,64;74;26,8;0,46;906,96;20,24;4230;208,99;4,339662;3;2
Papayer;;Carica papaya;Caricaceae;Carica;papaya;C;3;129,032;3,843;0,03;0.1875000;0,35;74;51,7;0,48;1169,32;26,3;4540;172,62;6,773831;3;2
Papayer;;Carica papaya;Caricaceae;Carica;papaya;A;1;120;6,734;0,056;0.1875000;0,42;66;60,3;0,32;1019,44;18,68;3790;202,89;5,024575;3;2
Pepe Angrouafou;32295;Ficus variifolia;Moraceae;Ficus;variifolia;A;2;217,391;1,612;0,007;0.4055347;0,66;280;3;0,4;61,02;1,42;592;415,73;0,146779;3;2
Pepe Angrouafou;;Ficus variifolia;Moraceae;Ficus;variifolia;A;3;288,136;1,827;0,006;0.4055347;0,73;280;3,3;0,41;84,07;2,36;938;397,46;0,211522;3;2
Pepe Angrouafou;;Ficus variifolia;Moraceae;Ficus;variifolia;B;1;300;1,947;0,006;0.4055347;0,62;301;2;0,43;86,88;2,04;860;421,98;0,205883;3;2
Pepe Angrouafou;;Ficus variifolia;Moraceae;Ficus;variifolia;B;2;428,571;2,466;0,006;0.4055347;0,64;301;2,7;0,44;132,49;2,64;1130;428,35;0,309297;3;2
