"";"OldVernacular";"OldScientificName";"Oldgenus";"Oldspecies";"TreeID";"SampleID";"RDMC";"RootAverageLenght";"RSL";"BarkTh";"PetioleL";"LeafThickness";"LeafArea";"FreshWeight";"DryWeight";"LDMC";"SLA";"Dispers";"Deciduousness";"SPAD";"Filled";"Operator";"Rootdryweight";"Rootfreshweight";"RootsArea";"RSA";"field_name";"genus";"species";"MeanDBH";"N";"Roots_length";"meanWD";"sdWD";"levelWD";"nInd";"family"
"361";"Oba";"Bombax buonopozense";"Bombax";"buonopozense";"A";"1";208;NA;0,325567057692308;0,41;14;0,2;23487;4,71;1481;314,44;15,8588791357191;"3";"1";46,7;NA;"Vincyane";104;0,5;639,024;6,14446153846154;"oba";"Bombax";"buonopozense";267,824175824176;91;33,858974;0,324;0,0708232617216773;"species";3;"Malvaceae"
"362";"Oba";"Bombax buonopozense";"Bombax";"buonopozense";"A";"2";261,904761904762;NA;0,142191139393939;0,62;20,2;0,3;20197;4,23;1380;326,24;14,6355072463768;"3";"1";45,2;NA;"Vincyane";165;0,63;445,108;2,69762424242424;"oba";"Bombax";"buonopozense";267,824175824176;91;23,461538;0,324;0,0708232617216773;"species";3;"Malvaceae"
"363";"Oba";"Bombax buonopozense";"Bombax";"buonopozense";"A";"3";202,272727272727;NA;0,279890528089888;0,54;18;0,2;32076;6,5;2235;343,85;14,351677852349;"3";"1";45,7;NA;"Vincyane";89;0,44;454,564;5,1074606741573;"oba";"Bombax";"buonopozense";267,824175824176;91;24,910257;0,324;0,0708232617216773;"species";3;"Malvaceae"
"364";"Oba";"Bombax buonopozense";"Bombax";"buonopozense";"B";"1";1100;NA;0,709790227272727;0,47;12,2;0,3;19231;3,19;786;246,39;24,4669211195929;"3";"1";36,8;NA;"Vincyane";22;0,02;134,725;6,12386363636364;"oba";"Bombax";"buonopozense";267,824175824176;91;15,615385;0,324;0,0708232617216773;"species";3;"Malvaceae"
"365";"Oba";"Bombax buonopozense";"Bombax";"buonopozense";"B";"2";438,095238095238;NA;0,483277608695652;0,72;23,5;0,2;24852;4,11;1103;268,37;22,5312783318223;"3";"1";52,7;NA;"Vincyane";92;0,21;380,666;4,13767391304348;"oba";"Bombax";"buonopozense";267,824175824176;91;44,46154;0,324;0,0708232617216773;"species";3;"Malvaceae"
"366";"Oba";"Bombax buonopozense";"Bombax";"buonopozense";"B";"3";279;NA;0,282143189964158;0,75;18,2;0,3;24516;3,83;920;240,21;26,6478260869565;"3";"1";51,8;NA;"Vincyane";558;2;2506,542;4,49201075268817;"oba";"Bombax";"buonopozense";267,824175824176;91;157,4359;0,324;0,0708232617216773;"species";3;"Malvaceae"
"367";"Oba";"Bombax buonopozense";"Bombax";"buonopozense";"C";"1";441,304347826087;NA;0,402456724137931;0,73;24,3;0,2;40210;7,57;2149;283,88;18,7110283852955;"3";"1";57,4;NA;"Vincyane";406;0,92;1793,391;4,41721921182266;"oba";"Bombax";"buonopozense";267,824175824176;91;163,39743;0,324;0,0708232617216773;"species";3;"Malvaceae"
"368";"Oba";"Bombax buonopozense";"Bombax";"buonopozense";"C";"2";705,882352941176;NA;0,344764966666667;0,78;19;0,3;28423;5,22;1417;271,46;20,0585744530699;"3";"1";55;NA;"Vincyane";120;0,17;517,485;4,312375;"oba";"Bombax";"buonopozense";267,824175824176;91;41,371796;0,324;0,0708232617216773;"species";3;"Malvaceae"
"369";"Oba";"Bombax buonopozense";"Bombax";"buonopozense";"C";"3";660;NA;1,04933954545455;0,82;18,2;0,3;28919;5,64;1575;279,26;18,3612698412698;"3";"1";52,5;NA;"Vincyane";66;0,1;643,752;9,75381818181818;"oba";"Bombax";"buonopozense";267,824175824176;91;69,25641;0,324;0,0708232617216773;"species";3;"Malvaceae"
"370";"Tulipier du Gabon";"Spathodea campanulata";"Spathodea";"campanulata";"A";"1";296;NA;0,556652797297297;0,96;5,1;0,4;26909;4,73;903;190,91;29,7995570321152;"3";"2";25,7;NA;"Vincyane";74;0,25;366,335;4,95047297297297;"tulipier.du.gabon";"Spathodea";"campanulata";167,256097560976;82;41,192307;0,3505;0,0708232617216773;"species";4;"Bignoniaceae"
"371";"Tulipier du Gabon";"Spathodea campanulata";"Spathodea";"campanulata";"A";"2";214,0625;NA;0,776342846715328;1,4;3,3;0,3;13254;2,69;531;197,4;24,9604519774011;"3";"2";25,9;NA;"Vincyane";137;0,64;999,289;7,2940802919708;"tulipier.du.gabon";"Spathodea";"campanulata";167,256097560976;82;106,35897;0,3505;0,0708232617216773;"species";4;"Bignoniaceae"
"372";"Tulipier du Gabon";"Spathodea campanulata";"Spathodea";"campanulata";"A";"3";266,666666666667;NA;0,434561965277778;0,92;5,1;0,3;21763;4,4;927;210,68;23,4768069039914;"3";"2";24,2;NA;"Vincyane";144;0,54;628,586;4,36518055555556;"tulipier.du.gabon";"Spathodea";"campanulata";167,256097560976;82;62,576923;0,3505;0,0708232617216773;"species";4;"Bignoniaceae"
"373";"Tulipier du Gabon";"Spathodea campanulata";"Spathodea";"campanulata";"B";"1";222,89156626506;NA;0,597297297297297;0,91;9,3;0,4;32173;7,5;1591;212,13;20,2218730358265;"3";"2";31,6;NA;"Vincyane";185;0,83;1312,994;7,09726486486486;"tulipier.du.gabon";"Spathodea";"campanulata";167,256097560976;82;110,5;0,3505;0,0708232617216773;"species";4;"Bignoniaceae"
"374";"Tulipier du Gabon";"Spathodea campanulata";"Spathodea";"campanulata";"B";"2";179,661016949153;NA;0,522254471698113;1,2;6,6;0,2;30954;6,59;1257;190,74;24,6252983293556;"3";"2";30,1;NA;"Vincyane";106;0,59;727,418;6,86243396226415;"tulipier.du.gabon";"Spathodea";"campanulata";167,256097560976;82;55,358974;0,3505;0,0708232617216773;"species";4;"Bignoniaceae"
"375";"Tulipier du Gabon";"Spathodea campanulata";"Spathodea";"campanulata";"B";"3";223,958333333333;NA;0,456768046511628;0,62;8;0,3;21493;4,69;988;210,66;21,754048582996;"3";"2";33,9;NA;"Vincyane";215;0,96;1053,686;4,90086511627907;"tulipier.du.gabon";"Spathodea";"campanulata";167,256097560976;82;98,20513;0,3505;0,0708232617216773;"species";4;"Bignoniaceae"
"376";"Tulipier du Gabon";"Spathodea campanulata";"Spathodea";"campanulata";"C";"1";273,4375;NA;0,192234434285714;0,6;8;0,3;33544;5,07;1299;256,21;25,8229407236336;"3";"2";32,7;NA;"Vincyane";175;0,64;529,739;3,02708;"tulipier.du.gabon";"Spathodea";"campanulata";167,256097560976;82;33,641026;0,3505;0,0708232617216773;"species";4;"Bignoniaceae"
