;OldVernacular;OldScientificName;Oldgenus;Oldspecies;TreeID;SampleID;RDMC;RootAverageLenght;RSL;BarkTh;PetioleL;LeafThickness;LeafArea;FreshWeight;DryWeight;LDMC;SLA;Dispers;Deciduousness;SPAD;Filled;Operator;Rootdryweight;Rootfreshweight;RootsArea;RSA;field_name;genus;species;MeanDBH;N;Roots_length;meanWD;sdWD;levelWD;nInd;family,,,,,,,,,,,,,,,,,,
28;Ba;Celtis mildbraedii;Celtis;mildbraedii;A;1;402,4144869;3,25;0,010033151;0,34;1;0,28;3762;0,39;277,1;708,08;13,57632624;3;1.5;68,9;0;Marco;20;0,0497;200,758;10,0379;ba;Celtis;mildbraedii;340,8976744;860;0,20066302;0,617571429;0,070823262;species;7;Cannabaceae,
29;Ba;Celtis mildbraedii;Celtis;mildbraedii;A;2;396,8545602;4,108;0,002140944;0,39;0,8;0,28;2434;0,27;170;625,46;14,31764706;3;1.5;59,1;0;Marco;540;1,3607;1891,877;3,503475926;ba;Celtis;mildbraedii;340,8976744;860;1,1561096;0,617571429;0,070823262;species;7;Cannabaceae,
30;Ba;Celtis mildbraedii;Celtis;mildbraedii;A;3;368,7315634;3,843;0,003045335;0,32;1;0,28;3250;0,38;261,4;694,31;12,43305279;3;1.5;61,4;0;Marco;100;0,2712;549,079;5,49079;ba;Celtis;mildbraedii;340,8976744;860;0,30453345;0,617571429;0,070823262;species;7;Cannabaceae,
31;Ba;Celtis mildbraedii;Celtis;mildbraedii;B;1;421,8296863;3,245;0,003879038;0,3;0,8;0,27;5907;0,93;394,4;422,19;14,97718053;3;1.5;42,6;0;Marco;320;0,7586;1413,55;4,41734375;ba;Celtis;mildbraedii;340,8976744;860;1,241292;0,617571429;0,070823262;species;7;Cannabaceae
32;Ba;Celtis mildbraedii;Celtis;mildbraedii;B;2;459,4594595;2,29;0,003338053;0,35;0,9;0,26;8982;1,26;391,3;311,71;22,95425505;3;1.5;53,9;0;Marco;170;0,37;595,184;3,501082353;ba;Celtis;mildbraedii;340,8976744;860;0,56746906;0,617571429;0,070823262;species;7;Cannabaceae
33;Ba;Celtis mildbraedii;Celtis;mildbraedii;B;3;468,6834256;2,886;0,003976065;0,28;0,9;0,27;7744;1,26;415,7;329,8;18,62881886;3;1.5;39,8;0;Marco;220;0,4694;991,216;4,505527273;ba;Celtis;mildbraedii;340,8976744;860;0,87473434;0,617571429;0,070823262;species;7;Cannabaceae
34;Ba;Celtis mildbraedii;Celtis;mildbraedii;C;1;387,0967742;3,082;0,005617778;0,57;1,2;0,21;8796;1,1;310;283,11;28,37419355;3;1.5;26,3;0;Marco;120;0,31;624,182;5,201516667;ba;Celtis;mildbraedii;340,8976744;860;0,67413336;0,617571429;0,070823262;species;7;Cannabaceae,
35;Ba;Celtis mildbraedii;Celtis;mildbraedii;C;2;372,0930233;1,883;0,007042918;0,45;1,1;0,26;7526;1,42;513,3;362,78;14,66199104;3;1.5;47,5;0;Marco;160;0,43;956,951;5,98094375;ba;Celtis;mildbraedii;340,8976744;860;1,1268669;0,617571429;0,070823262;species;7;Cannabaceae
36;Ba;Celtis mildbraedii;Celtis;mildbraedii;C;3;377,7777778;3,172;0,004847847;0,5;0,6;0,27;3332;0,59;196,7;332,39;16,93950178;3;1.5;53,6;0;Marco;340;0,9;1605,853;4,723097059;ba;Celtis;mildbraedii;340,8976744;860;1,648268;0,617571429;0,070823262;species;7;Cannabaceae
37;Bete;Mansonia altissima;Mansonia;altissima;A;2;348,0855296;2,493;0,005809507;1,24;3;0,44;39039;4,46;2960;663,68;13,18885135;2;2;34,7;0;Marco;280;0,8044;1731,231;6,182967857;bete;Mansonia;altissima;188,8314711;1074;1,6266619;0,564458333;0,070823262;species;24;Malvaceae,,
